"filename", "language", "Python", "HTML", "JSON", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\static\app.js", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 5, 42
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\static\style.css", "CSS", 0, 0, 0, 264, 0, 0, 4, 35, 303
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\templates\basket.html", "HTML", 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\templates\includes\_footer.html", "HTML", 0, 24, 0, 0, 0, 0, 1, 0, 25
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\templates\includes\_navbar.html", "HTML", 0, 86, 0, 0, 0, 0, 0, 1, 87
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\templates\includes\_navbar2.html", "HTML", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\templates\index.html", "HTML", 0, 126, 0, 0, 0, 0, 8, 18, 152
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\templates\payment.html", "HTML", 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\templates\user\login.html", "HTML", 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\templates\user\register.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\user\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\user\admin.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\user\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\user\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\user\models.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\user\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\user\urls.py", "Python", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\user\views.py", "Python", 54, 0, 0, 0, 0, 0, 2, 5, 61
"Total", "-", 2459, 332, 12, 264, 155, 37, 141, 668, 4068
